Year,Date,Plot,Treatment,Family Count
2022,7/27/2022,A1,Nothing,1.67
2022,7/27/2022,A2,Stakes + SS,0.67
2022,7/27/2022,A3,Stakes,1.33
2022,7/27/2022,A4,Stakes + SS,2.00
2022,7/27/2022,A5,Stakes + SS,1.67
2022,7/27/2022,A6,SS,3.00
2022,7/27/2022,A7,Stakes,2.33
2022,7/27/2022,A8,Nothing,1.67
2022,7/27/2022,B1,SS,1.00
2022,7/27/2022,B2,SS,1.67
2022,7/27/2022,B3,SS,0.67
2022,7/27/2022,B4,Nothing,1.00
2022,7/27/2022,B5,SS,2.00
2022,7/27/2022,B6,Stakes + SS,1.67
2022,7/27/2022,B7,Nothing,1.00
2022,7/27/2022,B8,Stakes + SS,2.00
2022,7/27/2022,C1,Stakes + SS,2.33
2022,7/27/2022,C2,Stakes,2.33
2022,7/27/2022,C3,SS,2.00
2022,7/27/2022,C4,Stakes,2.67
2022,7/27/2022,C5,Stakes,2.33
2022,7/27/2022,C6,Stakes + SS,3.00
2022,7/27/2022,C7,Nothing,3.33
2022,7/27/2022,C8,Stakes,1.67
2022,7/27/2022,D1,Stakes,4.00
2022,7/27/2022,D2,Stakes,2.67
2022,7/27/2022,D3,Stakes + SS,3.00
2022,7/27/2022,D4,Nothing,2.33
2022,7/27/2022,D5,Nothing,3.00
2022,7/27/2022,D6,Nothing,3.33
2022,7/27/2022,E1,SS,4.33
2022,7/27/2022,E2,SS,3.00
2022,8/4/2022,A1,Nothing,1.67
2022,8/4/2022,A2,Stakes + SS,1.00
2022,8/4/2022,A3,Stakes,1.33
2022,8/4/2022,A4,Stakes + SS,1.67
2022,8/4/2022,A5,Stakes + SS,2.33
2022,8/4/2022,A6,SS,1.67
2022,8/4/2022,A7,Stakes,1.67
2022,8/4/2022,A8,Nothing,2.00
2022,8/4/2022,B1,SS,2.00
2022,8/4/2022,B2,SS,1.33
2022,8/4/2022,B3,SS,2.00
2022,8/4/2022,B4,Nothing,1.67
2022,8/4/2022,B5,SS,1.33
2022,8/4/2022,B6,Stakes + SS,2.00
2022,8/4/2022,B7,Nothing,1.67
2022,8/4/2022,B8,Stakes + SS,1.33
2022,8/4/2022,C1,Stakes + SS,2.00
2022,8/4/2022,C2,Stakes,2.00
2022,8/4/2022,C3,SS,2.00
2022,8/4/2022,C4,Stakes,2.67
2022,8/4/2022,C5,Stakes,2.33
2022,8/4/2022,C6,Stakes + SS,3.00
2022,8/4/2022,C7,Nothing,2.00
2022,8/4/2022,C8,Stakes,2.00
2022,8/4/2022,D1,Stakes,2.33
2022,8/4/2022,D2,Stakes,2.67
2022,8/4/2022,D3,Stakes + SS,1.67
2022,8/4/2022,D4,Nothing,1.67
2022,8/4/2022,D5,Nothing,2.00
2022,8/4/2022,D6,Nothing,2.33
2022,8/4/2022,E1,SS,2.67
2022,8/4/2022,E2,SS,3.00
2022,8/26/2022,A1,Nothing,1.67
2022,8/26/2022,A2,Stakes + SS,1.33
2022,8/26/2022,A3,Stakes,3.00
2022,8/26/2022,A4,Stakes + SS,1.33
2022,8/26/2022,A5,Stakes + SS,2.67
2022,8/26/2022,A6,SS,1.00
2022,8/26/2022,A7,Stakes,1.33
2022,8/26/2022,A8,Nothing,2.33
2022,8/26/2022,B1,SS,2.33
2022,8/26/2022,B2,SS,1.00
2022,8/26/2022,B3,SS,1.67
2022,8/26/2022,B4,Nothing,2.33
2022,8/26/2022,B5,SS,2.33
2022,8/26/2022,B6,Stakes + SS,1.33
2022,8/26/2022,B7,Nothing,1.67
2022,8/26/2022,B8,Stakes + SS,2.00
2022,8/26/2022,C1,Stakes + SS,1.33
2022,8/26/2022,C2,Stakes,1.67
2022,8/26/2022,C3,SS,3.67
2022,8/26/2022,C4,Stakes,2.00
2022,8/26/2022,C5,Stakes,1.33
2022,8/26/2022,C6,Stakes + SS,1.33
2022,8/26/2022,C7,Nothing,1.00
2022,8/26/2022,C8,Stakes,1.00
2022,8/26/2022,D1,Stakes,2.00
2022,8/26/2022,D2,Stakes,1.00
2022,8/26/2022,D3,Stakes + SS,1.33
2022,8/26/2022,D4,Nothing,0.33
2022,8/26/2022,D5,Nothing,1.00
2022,8/26/2022,D6,Nothing,0.67
2022,8/26/2022,E1,SS,1.33
2022,8/26/2022,E2,SS,1.00
2022,8/31/2022,A1,Nothing,0.67
2022,8/31/2022,A2,Stakes + SS,1.67
2022,8/31/2022,A3,Stakes,1.33
2022,8/31/2022,A4,Stakes + SS,0.67
2022,8/31/2022,A5,Stakes + SS,1.33
2022,8/31/2022,A6,SS,1.67
2022,8/31/2022,A7,Stakes,0.67
2022,8/31/2022,A8,Nothing,0.67
2022,8/31/2022,B1,SS,2.33
2022,8/31/2022,B2,SS,0.67
2022,8/31/2022,B3,SS,1.67
2022,8/31/2022,B4,Nothing,0.00
2022,8/31/2022,B5,SS,0.67
2022,8/31/2022,B6,Stakes + SS,1.00
2022,8/31/2022,B7,Nothing,0.67
2022,8/31/2022,B8,Stakes + SS,2.00
2022,8/31/2022,C1,Stakes + SS,1.67
2022,8/31/2022,C2,Stakes,0.00
2022,8/31/2022,C3,SS,1.33
2022,8/31/2022,C4,Stakes,1.00
2022,8/31/2022,C5,Stakes,1.00
2022,8/31/2022,C6,Stakes + SS,1.00
2022,8/31/2022,C7,Nothing,1.67
2022,8/31/2022,C8,Stakes,1.67
2022,8/31/2022,D1,Stakes,1.67
2022,8/31/2022,D2,Stakes,1.67
2022,8/31/2022,D3,Stakes + SS,2.00
2022,8/31/2022,D4,Nothing,1.33
2022,8/31/2022,D5,Nothing,1.33
2022,8/31/2022,D6,Nothing,1.00
2022,8/31/2022,E1,SS,1.00
2022,8/31/2022,E2,SS,0.67
2022,9/12/2022,A1,Nothing,0.00
2022,9/12/2022,A2,Stakes + SS,1.00
2022,9/12/2022,A3,Stakes,0.67
2022,9/12/2022,A4,Stakes + SS,1.00
2022,9/12/2022,A5,Stakes + SS,1.33
2022,9/12/2022,A6,SS,0.67
2022,9/12/2022,A7,Stakes,2.00
2022,9/12/2022,A8,Nothing,1.33
2022,9/12/2022,B1,SS,1.67
2022,9/12/2022,B2,SS,0.67
2022,9/12/2022,B3,SS,1.67
2022,9/12/2022,B4,Nothing,1.33
2022,9/12/2022,B5,SS,1.00
2022,9/12/2022,B6,Stakes + SS,1.00
2022,9/12/2022,B7,Nothing,0.67
2022,9/12/2022,B8,Stakes + SS,0.33
2022,9/12/2022,C1,Stakes + SS,1.00
2022,9/12/2022,C2,Stakes,1.00
2022,9/12/2022,C3,SS,2.00
2022,9/12/2022,C4,Stakes,1.00
2022,9/12/2022,C5,Stakes,0.67
2022,9/12/2022,C6,Stakes + SS,1.33
2022,9/12/2022,C7,Nothing,0.67
2022,9/12/2022,C8,Stakes,1.67
2022,9/12/2022,D1,Stakes,1.67
2022,9/12/2022,D2,Stakes,1.67
2022,9/12/2022,D3,Stakes + SS,1.33
2022,9/12/2022,D4,Nothing,1.00
2022,9/12/2022,D5,Nothing,0.67
2022,9/12/2022,D6,Nothing,1.33
2022,9/12/2022,E1,SS,1.67
2022,9/12/2022,E2,SS,2.00
2022,9/30/2022,A1,Nothing,0.67
2022,9/30/2022,A2,Stakes + SS,2.67
2022,9/30/2022,A3,Stakes,1.33
2022,9/30/2022,A4,Stakes + SS,2.33
2022,9/30/2022,A5,Stakes + SS,1.33
2022,9/30/2022,A6,SS,2.00
2022,9/30/2022,A7,Stakes,1.67
2022,9/30/2022,A8,Nothing,1.00
